group,,Ca,K,Vit B12,carbs,fats,fiber,id,kcal,mono unsaturated,nutrition id,polyunsaturated,protein,sat fats,water,yield
Sugar Crops,25%,1.0,2.0,0.0,99.98,0.0,0.0,2536.25,387.0,0.0,225.0,0.0,0.0,0.0,0.02,23.5075
Sugar Crops,50%,1.0,2.0,0.0,99.98,0.0,0.0,2536.5,387.0,0.0,225.0,0.0,0.0,0.0,0.02,39.225
Sugar Crops,75%,1.0,2.0,0.0,99.98,0.0,0.0,2536.75,387.0,0.0,225.0,0.0,0.0,0.0,0.02,54.942499999999995
Sugar Crops,max,1.0,2.0,0.0,99.98,0.0,0.0,2537.0,387.0,0.0,225.0,0.0,0.0,0.0,0.02,70.66
Treenuts,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Treenuts,mean,113.27666666666666,626.11,0.0,26.986666666666668,39.25,7.363333333333333,6520.0,491.25,21.99666666666667,82.0,7.609999999999999,15.25,6.963333333333334,16.22,1.7866666666666664
Treenuts,std,134.86967647819628,127.26549532375223,0.0,4.733205397332059,13.577569738358925,4.692977022459553,3437.254863986667,130.1218179245894,10.57099963737268,7.810249675906654,4.844460754304858,7.820095907340267,2.8443335481854684,19.775305307377682,1.1666333328571292
Treenuts,min,33.83,485.33,0.0,21.55,23.97,3.3,2551.0,341.75,10.64,77.0,2.65,6.38,3.8,4.41,0.75
Treenuts,25%,35.415,572.665,0.0,25.384999999999998,33.91,4.795,5527.5,447.375,17.22,77.5,5.25,12.299999999999999,5.79,4.805,1.155
Treenuts,50%,37.0,660.0,0.0,29.22,43.85,6.29,8504.0,553.0,23.8,78.0,7.85,18.22,7.78,5.2,1.56
Treenuts,75%,153.0,696.5,0.0,29.705,46.89,9.395,8504.5,566.0,27.675,84.5,10.09,19.685,8.545,22.125,2.3049999999999997
Treenuts,max,269.0,733.0,0.0,30.19,49.93,12.5,8505.0,579.0,31.55,91.0,12.33,21.15,9.31,39.05,3.05
Vegetable Oils,count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,10.0
Vegetable Oils,mean,0.15384615384615385,0.0,0.0,0.0,99.9276923076923,0.0,2577.230769230769,884.1538461538462,33.942307692307686,112.0,27.01076923076923,0.0,34.153076923076924,0.0,2.7969999999999997
Vegetable Oils,std,0.37553380809940534,0.0,0.0,0.0,0.2607090922258571,0.0,4.342692063567754,8.183786347062037,17.34222215377168,3.8078865529319543,20.85924833318883,0.0,25.644260041516567,0.0,1.643958974886877
Vegetable Oils,min,0.0,0.0,0.0,0.0,99.06,0.0,2571.0,862.0,6.33,107.0,1.6,0.0,12.95,0.0,0.6
Vegetable Oils,25%,0.0,0.0,0.0,0.0,100.0,0.0,2574.0,884.0,22.78,108.0,9.3,0.0,14.2,0.0,1.7999999999999998
Vegetable Oils,50%,0.0,0.0,0.0,0.0,100.0,0.0,2577.0,884.0,37.0,112.0,32.0,0.0,19.7,0.0,2.1500000000000004
Vegetable Oils,75%,0.0,0.0,0.0,0.0,100.0,0.0,2580.0,884.0,39.7,115.0,41.7,0.0,49.3,0.0,4.0075
Vegetable Oils,max,1.0,0.0,0.0,0.0,100.0,0.0,2586.0,900.0,72.96,118.0,57.74,0.0,82.48,0.0,5.46
Vegetables,count,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Vegetables,mean,51.95947368421053,273.0073684210526,0.002105263157894737,7.973684210526318,0.23842105263157895,2.1300000000000003,7892.1578947368425,36.433684210526316,0.01368421052631579,148.57894736842104,0.10315789473684212,1.933684210526316,0.045263157894736845,89.02894736842104,38.672105263157896
Vegetables,std,53.2237484038098,94.25643342865281,0.009176629354822472,7.076622083802347,0.10745868239026862,0.738594761843206,1864.4170451185687,30.951476757180625,0.008950807732508137,79.75052475583098,0.05897764468931779,1.2781593124764123,0.018369183449048445,8.318656338306916,82.560601686744
Vegetables,min,6.56,141.5,0.0,2.72,0.1,0.6,2601.0,12.5,0.0,1.0,0.03,0.62,0.02,58.58,5.26
Vegetables,25%,19.4,206.5,0.0,3.88,0.155,1.7349999999999999,8508.5,21.43,0.01,150.0,0.05,1.25,0.03,89.525,15.14
Vegetables,50%,32.5,251.88,0.0,5.88,0.21,2.1,8513.0,28.1,0.01,182.0,0.09,1.5,0.04,91.12,18.87
Vegetables,75%,57.785,310.5,0.0,7.895,0.305,2.6500000000000004,8517.5,34.5,0.02,193.0,0.14500000000000002,2.35,0.06,92.92,27.59
Vegetables,max,190.0,558.0,0.04,33.06,0.5,3.2,8532.0,149.0,0.03,223.0,0.25,6.36,0.09,95.98,377.5
