year,country,FAO item,amount kg_pa
2013,Thailand,2735,0.03
2013,Thailand,2732,0.05
2013,Thailand,2736,1.11
2013,Thailand,2737,0.23
2013,Thailand,2848,29.35
2013,Thailand,2740,0.17
2013,Thailand,2743,0.02
2013,Thailand,2744,12.35
2013,Thailand,2542,37.69
2013,Thailand,2543,2.18
2013,Thailand,2536,61.11
2013,Thailand,2745,0.06
2013,Thailand,2541,0
2013,Thailand,2640,0.08
2013,Thailand,2641,2.92
2013,Thailand,2642,0
2013,Thailand,2645,1.7
2013,Thailand,2630,0.3
2013,Thailand,2633,0.64
2013,Thailand,2635,1.17
2013,Thailand,2656,30.44
2013,Thailand,2655,0.12
2013,Thailand,2657,0.19
2013,Thailand,2658,10.23
2013,Japan,2511,45.04
2013,Japan,2805,59.85
2013,Japan,2514,9.21
2013,Japan,2517,0.06
2013,Japan,2518,0
2013,Japan,2520,0.66
2013,Japan,2513,0.55
2013,Japan,2516,0
2013,Japan,2515,0.01
2013,Japan,2531,20.95
2013,Japan,2533,6.95
2013,Japan,2532,0.08
2013,Japan,2534,1.76
2013,Japan,2535,1.04
2013,Japan,2549,0.06
2013,Japan,2555,7.34
2013,Japan,2546,1.37
2013,Japan,2547,0.12
2013,Japan,2551,1.88
2013,Japan,2556,0.71
2013,Japan,2560,0.09
2013,Japan,2563,0.03
2013,Japan,2558,0
2013,Japan,2561,0.37
2013,Japan,2557,0
2013,Japan,2570,0.01
2013,Japan,2562,0
2013,Japan,2571,3.24
2013,Japan,2574,8.36
2013,Japan,2580,0.4
2013,Japan,2573,0.14
2013,Japan,2577,0.87
2013,Japan,2582,0.66
2013,Japan,2572,0.01
2013,Japan,2578,0.28
2013,Japan,2575,0.06
2013,Japan,2586,0.09
2013,Japan,2581,0.53
2013,Japan,2576,0.63
2013,Japan,2579,0
2013,Japan,2605,82
2013,Japan,2601,10.06
2013,Japan,2602,10.24
2013,Japan,2625,10.15
2013,Japan,2611,12.03
2013,Japan,2617,16.17
2013,Japan,2615,6.37
2013,Japan,2620,2.05
2013,Japan,2618,1.82
2013,Japan,2612,0.44
2013,Japan,2613,2.07
2013,Japan,2614,1.76
2013,Japan,2616,0
2013,Japan,2619,0.01
2013,Japan,2761,5
2013,Japan,2763,13.05
2013,Japan,2762,7.3
2013,Japan,2767,6.44
2013,Japan,2765,7.13
2013,Japan,2766,3.93
2013,Japan,2775,0.92
2013,Japan,2764,5.75
2013,Japan,2769,0.26
2013,Japan,2781,0.25
2013,Japan,2782,0
2013,Japan,2733,20.62
2013,Japan,2734,19.42
2013,Japan,2731,9.15
2013,Japan,2735,0.12
2013,Japan,2732,0.14
2013,Japan,2736,2.74
2013,Japan,2737,0.53
2013,Japan,2848,72.06
2013,Japan,2740,0.57
2013,Japan,2743,0
2013,Japan,2744,19.15
2013,Japan,2542,16.17
2013,Japan,2543,10.52
2013,Japan,2536,0
2013,Japan,2745,0.33
2013,Japan,2541,0.06
2013,Japan,2640,0.07
2013,Japan,2641,0.11
2013,Japan,2642,0
2013,Japan,2645,1.1
2013,Japan,2630,3.89
2013,Japan,2633,1.32
2013,Japan,2635,0.95
2013,Japan,2656,28.28
2013,Japan,2655,2.72
2013,Japan,2657,6.61
2013,Japan,2658,8.99
2013,France,2511,108.43
2013,France,2805,4.88
2013,France,2514,11.11
2013,France,2517,0
2013,France,2518,0
2013,France,2520,0.73
2013,France,2513,1.08
2013,France,2516,0.57
2013,France,2515,0.44
2013,France,2531,53.79
2013,France,2533,0
2013,France,2532,0
2013,France,2534,0.08
2013,France,2535,0.07
2013,France,2549,0.72
2013,France,2555,0.05
2013,France,2546,0.66
2013,France,2547,0.47
2013,France,2551,4.33
2013,France,2556,1.06
2013,France,2560,0.4
2013,France,2563,1.36
2013,France,2558,0
2013,France,2561,0
2013,France,2557,0
2013,France,2570,0
2013,France,2562,0
2013,France,2571,3.95
2013,France,2574,3.11
2013,France,2580,1.74
2013,France,2573,6.08
2013,France,2577,0.47
2013,France,2582,0.68
2013,France,2572,0.21
2013,France,2578,0.94
2013,France,2575,0.01
2013,France,2586,1.7
2013,France,2581,0
2013,France,2576,0.25
2013,France,2579,0.08
2013,France,2605,73.75
2013,France,2601,20.45
2013,France,2602,3.12
2013,France,2625,31.94
2013,France,2611,48.56
2013,France,2617,13.15
2013,France,2615,4.64
2013,France,2620,5.24
2013,France,2618,2.6
2013,France,2612,2.12
2013,France,2613,5.1
2013,France,2614,0.11
2013,France,2616,0.6
2013,France,2619,0.26
2013,France,2761,4.24
2013,France,2763,6.89
2013,France,2762,11.6
2013,France,2767,6.43
2013,France,2765,3.66
2013,France,2766,0.48
2013,France,2775,0
2013,France,2764,0.18
2013,France,2769,0.07
2013,France,2781,0.25
2013,France,2782,0.01
2013,France,2733,33.05
2013,France,2734,22.93
2013,France,2731,23.81
2013,France,2735,3.7
2013,France,2732,3.28
2013,France,2736,5.86
2013,France,2737,2.99
2013,France,2848,241.31
2013,France,2740,7.98
2013,France,2743,4
2013,France,2744,13.13
2013,France,2542,36.71
2013,France,2543,1.96
2013,France,2536,0
2013,France,2745,0.55
2013,France,2541,0
